annee,Chiens courants,Chiens d'arrêt,Chiens d’agrément et de compagnie,Chiens de berger et de bouvier,"Chiens de gibier 
 chiens d’eau","Chiens de type pinscher et schnauzer 
 Molossoïdes 
 Chiens de montagne","Chiens de type spitz 
et de type primitif",Lévriers,Teckels,Terriers
1970,3530,2048,6147,12268,4038,7172,17184,1012,0,1792
1975,4313,3050,6267,18911,8310,12271,21649,2397,0,2986
1980,6711,3831,6138,29744,11028,13533,22255,4543,0,5397
1985,8104,3951,6255,31883,11650,14175,20236,5838,0,8405
1990,14103,6696,9310,33686,18630,19333,23838,9768,0,9775
1995,12568,5711,9810,28945,22800,19553,21887,10025,11,8375
2000,14079,4965,12789,26075,27529,23571,24679,8857,28,8659
2005,16910,4941,18584,28109,25353,31067,27369,9455,49,11238
2006,15912,4960,18620,28245,23828,30834,26335,9183,39,11764
2007,17892,5546,20289,29423,23725,33710,27526,9658,57,12649
2008,18868,5607,21429,31286,23828,36594,29736,10303,89,13390
2009,17370,5916,20803,31066,23156,35071,28433,10290,88,13606
2010,19010,6085,22581,33061,23997,37413,30081,10242,117,15190
2011,19093,6134,23438,34496,24258,37687,30861,9996,87,16654
2012,19537,6066,24866,36463,24225,37288,31813,9874,130,17539
2013,19790,6451,27156,37645,24529,38228,32622,9406,155,19286
2014,19998,6373,28387,39082,24890,37765,31335,8904,140,21303
2015,19906,6402,30047,38866,24243,36222,30447,8213,157,20748
2016,21442,6516,32324,42016,25524,37256,31594,8130,153,22971
2017,22807,7052,34328,45340,25906,36469,30626,8215,206,24220
2018,22421,6724,34359,46019,26440,37166,29681,7719,145,23281
2019,23321,6781,33630,47386,26428,36204,28696,7618,146,23346
2020,24973,7017,34812,52295,28195,36730,29663,7780,103,23880
2021,29687,8360,37818,59780,32253,41060,32205,8318,74,26870
2022,27986,7507,34699,56585,30570,38344,29809,7849,102,24598
